ccode;oldctbank;newctbank;csname;cnamer;oldcopf;newcopf;cregnum;oldcregnr;newcregnr;cdreg;lic;strcuraddr;ogrn
450 000 539;;;"АКБ ""ОБПИ"" (ПАО)";ОБЪЕДИНЕННЫЙ БАНК ПРОМЫШЛЕННЫХ ИНВЕСТИЦИЙ;ПАО;ПАО;2 626;;;23.12.1993;ОТЗ;121069,  г. Москва, Мерзляковский пер., д. 20, строение 1;1027739206692
400 000 017;;;"АО Банк ""Объединенный капитал""";ОБЪЕДИНЕННЫЙ КАПИТАЛ;АО;НПАО;2 611;;;13.12.1993;;195220, г.Санкт-Петербург, ул. Гжатская, д. 21, корп. 2, лит. А;1027800003505
220 000 003;;;"ПАО ""О.К. Банк""";ОБЪЕДИНЕННЫЙ КРЕДИТНЫЙ БАНК;ПАО;ПАО;1 118;;;07.12.1990;ОТЗ;150040, г. Ярославль, ул. Чайковского, д.62/30;1025200000330
450 000 384;;;"ООО КБ ""ОГНИ МОСКВЫ""";ОГНИ МОСКВЫ;ООО;ООО (Паевое);2 328;;;29.04.1993;ОТЗ;105066,  г. Москва, ул.Новая Басманная, д.27;1037739768220
512 056 749;;;"ООО ""ОЗОН Банк""";ОЗОН БАНК;ООО;ООО (Паевое);3 542;;;11.03.2022;;123112, г. Москва, Пресненская набережная, дом 10, этаж 19;1227700133792
450 000 592;;;"ООО КБ ""ОПМ-Банк""";ОПМ-БАНК;ООО;ООО (Паевое);2 734;;;04.03.1994;ОТЗ;127055, г. Москва, ул. Палиха, д. 10, стр. 7;1027739534371
630 000 006;;;"АО ""ОРБАНК""";ОРБАНК;АО;НПАО;937;;;23.11.1990;ОТЗ;115280, г. Москва, ул. Ленинская Слобода, д. 19, стр. 32;1026400001803
450 000 610;;;"АО ""ОТП Банк""";ОТП БАНК;АО;НПАО;2 766;;;28.03.1994;;125171, г. Москва, Ленинградское шоссе, д. 16 А, стр.2;1027739176563
450 000 346;;;"ПАО ""ОФК Банк""";ОФК БАНК;ПАО;ПАО;2 270;;;29.01.1993;ОТЗ;109240, г. Москва, ул. Николоямская, д. 7/8;1027739495420
730 000 003;;;ПВ-Банк (ЗАО);ПВ-БАНК;ЗАО;ЗАО (АО);634;;;30.10.1990;ОТЗ;432970, г. Ульяновск, ул. К. Маркса,1;1027300001354
30 000 058;;;"Банк ""Первомайский"" (ПАО)";ПЕРВОМАЙСКИЙ;ПАО;ПАО;518;;;19.10.1990;ОТЗ;350020 г. Краснодар, ул. Красная, 139;1022300001063
650 000 032;;;"АО ""ПЕРВОУРАЛЬСКБАНК""";ПЕРВОУРАЛЬСКБАНК;АО;НПАО;965;;;10.07.1992;;623109, Свердловская область, г.Первоуральск, пр. Ильича, 9 б;1026600001823
280 000 001;;;"ООО КБ ""Первый депозитный""";ПЕРВЫЙ ДЕПОЗИТНЫЙ БАНК;ООО;ООО (Паевое);1 244;;;20.12.1990;ОТЗ;127055, г.Москва, ул. Тихвинская, д. 20;1026900001040
330 000 005;;;"АО ""Первый Дортрансбанк""";ПЕРВЫЙ ДОРТРАНСБАНК;АО;НПАО;3 271;;;09.10.1995;;610001, г.Киров, улица Комсомольская, д.12А;1024300000097
450 000 697;;;"АО ""Первый Инвестиционный Банк""";ПЕРВЫЙ ИНВЕСТИЦИОННЫЙ БАНК;АО;НПАО;604;;;26.10.1990;;127247,  г. Москва, Бескудниковский бульвар, д.36, корпус 1;1027739222246
450 042 935;;;"ООО ""Первый Клиентский Банк""";ПЕРВЫЙ КЛИЕНТСКИЙ БАНК;ООО;ООО (Паевое);3 436;;;17.04.2003;;115280, г. Москва, ул. Ленинская Слобода, д. 19, строение 1;1037711002339
